baryon_density,pressurec2,energy_densityc2
1.78690866e14,1.677781986590126e12,1.8232760347e14
1.8000874e14,1.706697690699737e12,1.8368459471e14
1.81326448e14,1.736066531278802e12,1.8504194249e14
1.82644322e14,1.765897777838105e12,1.8639946854e14
1.8396203e14,1.7962012346678972e12,1.8775735113e14
1.85279904e14,1.826984923460203e12,1.8911523372e14
1.86597778e14,1.8582623919615522e12,1.9047347285e14
1.87915486e14,1.8900389879666277e12,1.9183189025e14
1.8923336e14,1.9222594509303733e12,1.9319048592e14
1.90551234e14,1.9546635215115613e12,1.9454943813e14
1.91868942e14,1.987409850952447e12,1.9590839034e14
1.93186816e14,2.0205661779856792e12,1.9726787736e14
1.94504524e14,2.0541663719775825e12,1.9862736438e14
1.95822398e14,2.0882353893033425e12,1.9998720794e14
1.97140272e14,2.1227964037399182e12,2.013470515e14
1.9845798e14,2.1578690238678127e12,2.0270742987e14
1.99775854e14,2.193467510472848e12,2.0406780824e14
2.01093728e14,2.229611472135526e12,2.0542854315e14
2.02411436e14,2.266315169641669e12,2.0678945633e14
2.0372931e14,2.3035928637770967e12,2.0815072605e14
2.05047018e14,2.3414605979258574e12,2.0951217404e14
2.06364892e14,2.3799290676773174e12,2.108738003e14
2.07682766e14,2.419016099013752e12,2.122357831e14
2.0900047400000003e14,2.458732387524527e12,2.1359794417e14
2.10318348e14,2.499093976593691e12,2.1496028351e14
2.1163622200000003e14,2.5401133444088364e12,2.1632297939e14
2.1295393e14,2.5818011865593296e12,2.1768603181e14
2.1427180400000003e14,2.624175329027446e12,2.190492625e14
2.15589512e14,2.6672464674025513e12,2.2041267146e14
2.16907386e14,2.7110270798722383e12,2.2177643696e14
2.1822526e14,2.7555314272223286e12,2.2314038073e14
2.19542968e14,2.8007737702386426e12,2.2450468104e14
2.20860842e14,2.8467648045105454e12,2.2586915962e14
2.22178716e14,2.893518790823858e12,2.2723399474e14
2.2349642399999997e14,2.9410499899644014e12,2.285991864e14
2.24814298e14,2.989370880119768e12,2.2996455632999997e14
2.2613200599999997e14,3.0384939394775522e12,2.3133010453e14
2.2744988e14,3.0884334288235737e12,2.3269618754e14
2.2876775399999997e14,3.1392000437471987e12,2.3406244882000003e14
2.30085462e14,3.190809827632475e12,2.3542888837e14
2.3140333600000003e14,3.2432752586669966e12,2.3679568446e14
2.3272121e14,3.296610597636583e12,2.3816283709e14
2.3403891800000003e14,3.3508265401306006e12,2.3953034626e14
2.35356792e14,3.40593734693487e12,2.408980337e14
2.3667466600000003e14,3.461957278835212e12,2.4226625595000003e14
2.37992374e14,3.518900596617447e12,2.436344782e14
2.39310248e14,3.5767779958709404e12,2.4500323525999997e14
2.40627956e14,3.6356037373815137e12,2.4637234886e14
2.4194583e14,3.6953938645332153e12,2.4774164073e14
2.43263704e14,3.7561572903171826e12,2.4911128914e14
2.44581412e14,3.8179118407156914e12,2.5048129409e14
2.4589928599999997e14,3.8806682113181074e12,2.5185165557999997e14
2.4721716e14,3.944440662910252e12,2.5322237361e14
2.4853486799999997e14,4.0092434562779453e12,2.5459326991e14
2.49852742e14,4.075089069608781e12,2.5596470102000003e14
2.5117045000000003e14,4.1419935462868057e12,2.5733648867e14
2.52488324e14,4.20996579930316e12,2.5870845459e14
2.5380619800000003e14,4.2790236546401177e12,2.6008095532000003e14
2.55123906e14,4.3491795904852734e12,2.6145381259e14
2.5644178e14,4.420446085026219e12,2.6282684813000003e14
2.57759654e14,4.492837399048776e12,2.6420041848000003e14
2.59077362e14,4.566367793338766e12,2.6557434536999997e14
2.60395236e14,4.641051528682008e12,2.669486288e14
2.61712944e14,4.716899300667868e12,2.6832326876999997e14
2.6303081799999997e14,4.793928935278622e12,2.6969826527999997e14
2.64348692e14,4.872151128103637e12,2.710737966e14
2.6566639999999997e14,4.951580139928731e12,2.7244950619e14
2.66984274e14,5.032230231539728e12,2.7382575059e14
2.6830214799999997e14,5.114115663722446e12,2.7520235153e14
2.69619856e14,5.1972489146644795e12,2.7657948728e14
2.7093773000000003e14,5.281644245151648e12,2.7795680130000003e14
2.72255438e14,5.367315915969774e12,2.7933465013e14
2.7357331200000003e14,5.45427640530645e12,2.8071303377e14
2.74891186e14,5.542541756545725e12,2.8209159568e14
2.76208894e14,5.632122665276962e12,2.834706924e14
2.77526768e14,5.723035174884212e12,2.8485032393e14
2.78844642e14,5.81528998095684e12,2.86230312e14
2.8016235e14,5.90890490947712e12,2.8761065661e14
2.81480224e14,6.003890656034421e12,2.8899153603e14
2.82797932e14,6.100263264012788e12,2.9037295026e14
2.84115806e14,6.198033429001589e12,2.9175472103e14
2.8543368e14,6.297217194384871e12,2.9313684834e14
2.86751388e14,6.397827038350228e12,2.9451951046e14
2.88069262e14,6.4998772216834795e12,2.9590270739e14
2.89387136e14,6.603382005170447e12,2.9728626086e14
2.90704844e14,6.708352084400496e12,2.9867052741e14
2.92022718e14,6.814803502757675e12,3.0005497223e14
2.93340426e14,6.922750521027805e12,3.0144013013e14
2.946583e14,7.032203834800251e12,3.0282564457e14
2.95976174e14,7.143179487459062e12,3.0421169382e14
2.97293882e14,7.25568995719183e12,3.0559827788e14
2.98611756e14,7.369749504784376e12,3.0698521848e14
2.9992963e14,7.485370608424295e12,3.0837269389e14
3.01247338e14,7.602565746299177e12,3.0976088238e14
3.02565212e14,7.721349179194847e12,3.1114942741e14
3.0388292e14,7.84173516789712e12,3.1253850725e14
3.05200794e14,7.963737973191822e12,3.139281219e14
3.06518668e14,8.08736650807009e12,3.1531827136e14
3.07836376e14,8.212638598514196e12,3.1670895563e14
3.0915425e14,8.339564940113512e12,3.1810017471e14
3.10472124e14,8.468159793653853e12,3.194919286e14
3.11789832e14,8.5984356373228125e12,3.208842173e14
3.13107706e14,8.730404949307989e12,3.2227721908e14
3.14425414e14,8.864081990395197e12,3.236705774e14
3.15743288e14,8.999479238772033e12,3.250646488e14
3.17061162e14,9.136610955224318e12,3.2645907674e14
3.1837887e14,9.275487835341416e12,3.2785421776e14
3.19696744e14,9.416124139909148e12,3.2924989359e14
3.21014618e14,9.55853234711511e12,3.306462825e14
3.22332326e14,9.70272493514689e12,3.3204320622e14
3.236502e14,9.848716164790312e12,3.3344066475e14
3.24967908e14,9.996516731634742e12,3.3483865809e14
3.26285782e14,1.0146139113867773e13,3.3623736451e14
3.27603656e14,1.0297597572275225e13,3.3763678401e14
3.28921364e14,1.0450904585044688e13,3.3903656005e14
3.30239238e14,1.0606070847765531e13,3.4043704917e14
